id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jumlah,satuan,tahun
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,NA,0,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,"TIDAK 
SEKOLAH",0,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,SD,1,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,SLTP,0,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,SLTA,0,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,"PERGURUAN 
TINGGI",0,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,TK,0,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,PAUD,0,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,NA,0,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,"TIDAK 
SEKOLAH",0,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,SD,1,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,SLTP,0,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,SLTA,2,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,"PERGURUAN 
TINGGI",0,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,TK,1,KORBAN,2018
32122018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,PAUD,0,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,NA,0,KORBAN,2018
32132018,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,"TIDAK 
SEKOLAH",0,KORBAN,2018
